qid;sexp;query
51;(VALUE (37422ned (MSR D003488_1 (WHERE (DIM TC 1963JJ00)))));hoeveel doodgeboren kinderen na een zwangerschap van 28 weken of meer in 1963
52;(VALUE (37422ned (MSR 70900 (WHERE (DIM TC 1991JJ00)))));hoeveel 43-jarigen kregen een kind in 1991
52;(VALUE (37422ned (MSR 70900 (WHERE (DIM TC 1991JJ00)))));hoeveel geboortes waren er bij  moeders van 40 tot 45 jaar in 1991
53;(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00)))));hoeveel tweelingen met een van elk geslacht zijn er geboren in 1960
53;(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00)))));hoeveel tweelingen met 1 jongen en 1 meisje zijn er geboren in 1960
53;(VALUE (37422ned (MSR D003482 (WHERE (DIM TC 1960JJ00)))));jongen meisje tweeling 1996
54;(VALUE (37422ned (MSR D003488_1 (WHERE (DIM TC 1987JJ00)))));aantal doodgeboren kinderen na zwangerschap van 28 weken of meer in 1987
55;(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 1986JJ00)))));aantal tienermoeders in 1986
55;(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 1986JJ00)))));hoeveel geboortes bij moeders onder de 20 in 1986
56;(VALUE (37422ned (MSR 70700 (WHERE (DIM TC 1975JJ00)))));hoeveel vrouwen tussen de 30 en 35 zijn bevallen in 1975
57;(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2005JJ00)))));aantal geboren kinderen in 2005
57;(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2005JJ00)))));hoeveel kinderen zijn er in 2005 geboren
58;(VALUE (37422ned (MSR D003488_2 (WHERE (DIM TC 1950JJ00)))));hoeveel kinderen zijn er dood geboren na 28 weken in 1950 relatief gezien
59;(VALUE (37422ned (MSR D003496 (WHERE (DIM TC 1951JJ00)))));hoeveel vrouwen hebben gemiddeld genomen 3 kinderen in 1951
60;(VALUE (37422ned (MSR A025238_2 (WHERE (DIM TC 1961JJ00)))));hoeveel meerlingen zijn er in 1961 geboren
60;(VALUE (37422ned (MSR A025238_2 (WHERE (DIM TC 1961JJ00)))));hoeveel geboortes met meer dan een kind waren er in 1961
61;(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1964JJ00)))));aantal geboortes in 1964
62;(VALUE (37422ned (MSR 41400 (WHERE (DIM TC 2005JJ00)))));hoeveel moeders jonger dan 20 waren er in 2005
63;(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1968JJ00)))));hoeveel kinderen zijn er in 1968 geboren
64;(VALUE (37422ned (MSR 1020 (WHERE (DIM TC 1997JJ00)))));hoeveel gehuwde vrouwen hebben kinderen gebaard in 1997
65;(VALUE (37422ned (MSR 70800 (WHERE (DIM TC 2010JJ00)))));hoeveel moeders tussen de 35 en 40 jaar in 2010
66;(VALUE (37422ned (MSR D003483 (WHERE (DIM TC 1988JJ00)))));hoeveel tweelingen met 2 jongens zijn er geboren in 1988
66;(VALUE (37422ned (MSR D003483 (WHERE (DIM TC 1988JJ00)))));aantal geboren tweelingen met twee jongens in 1988
67;(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1996JJ00)))));totaal geboortes in 1996
68;(VALUE (37422ned (MSR D000128_8 (WHERE (DIM TC 1994JJ00)))));totaal aantal levend geboren kinderen in 1994
69;(VALUE (37422ned (MSR D000128_6 (WHERE (DIM TC 2019JJ00)))));hoeveel kinderen zijn er levend geboren in 2019
70;(VALUE (37772ned (MSR 3000_2 (WHERE (DIM TC 1968JJ00)))));hoeveel mannen zijn er in 1968 getrouwd
70;(VALUE (37772ned (MSR 3000_2 (WHERE (DIM TC 1968JJ00)))));aantal huwende mannen in 1968
71;(VALUE (37772ned (MSR 1010_6 (WHERE (DIM TC 1952JJ00)))));wat was de gemiddelde leeftijd van eerder ongehuwde vrouwen bij hun huwelijk in 1952
72;(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 1963JJ00)))));welke leeftijd hadden mannen gemiddeld bij huwelijken in 1963
73;(VALUE (37772ned (MSR 1050_6 (WHERE (DIM TC 1981JJ00)))));hoe oud waren verweduwde vrouwen bij hun huwelijk in 1981
74;(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00)))));hoeveel vrouwen zijn er in 1989 in het huwelijk getreden
74;(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00)))));hoeveel vrouwen zijn er in 1989 getrouwd
74;(VALUE (37772ned (MSR 4000_4 (WHERE (DIM TC 1989JJ00)))));aantal huwelijken vrouwen 1989
75;(VALUE (37772ned (MSR 1010_4 (WHERE (DIM TC 1964JJ00)))));hoeveel ongehuwde vrouwen zijn er in 1964 getrouwd
76;(VALUE (37772ned (MSR 1050_1 (WHERE (DIM TC 1985JJ00)))));hoeveel verweduwde mannen zijn erin 1985 getrouwd
76;(VALUE (37772ned (MSR 1050_1 (WHERE (DIM TC 1985JJ00)))));huwelijken van weduwnaren in 1985
77;(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 2008JJ00)))));aantal vrouwen met minimaal 2 huwelijken in 2008
77;(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 2008JJ00)))));hoeveel vrouwen in 2008 zijn minimaal 2 keer getrouwd
78;(VALUE (37772ned (MSR T001221_1 (WHERE (DIM TC 1958JJ00)))));hoeveel huwelijken zijn er voltrokken in 1958
78;(VALUE (37772ned (MSR T001221_1 (WHERE (DIM TC 1958JJ00)))));totaal huwelijken 1958
79;(VALUE (37772ned (MSR 4000_2 (WHERE (DIM TC 1961JJ00)))));hoeveel vrouwen zijn erin 1961 getrouwd
79;(VALUE (37772ned (MSR 4000_2 (WHERE (DIM TC 1961JJ00)))));totaal aantal huwelijken vrouwen in 1961
80;(VALUE (37772ned (MSR 1010_2 (WHERE (DIM TC 1993JJ00)))));hoeveel ongehuwde vrouwen zijn er in 1993 getrouwd
81;(VALUE (37772ned (MSR D003634_1 (WHERE (DIM TC 2016JJ00)))));hoeveel mannen in 2016 waren minimaal 2 keer getrouwd
82;(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 2017JJ00)))));wat was de gemiddelde leeftijd van mannen huwelijkssluitingen in 2017
83;(VALUE (37772ned (MSR 1010_1 (WHERE (DIM TC 1997JJ00)))));hoeveel eerder ongehuwde mannen zijn er in 1997 getrouwd
84;(VALUE (37772ned (MSR 3000_6 (WHERE (DIM TC 1957JJ00)))));hoe oud waren mannen bij huwelijken in 1957
85;(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00)))));hoeveel vrouwen zijn er in 2015 getrouwd met een vrouw
85;(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00)))));aantal lesbische huwelijken in 2015
85;(VALUE (37772ned (MSR A028295_1 (WHERE (DIM TC 2015JJ00)))));aantal huwelijkssluitingen tussen vrouwen in 2015
86;(VALUE (37772ned (MSR 4000_6 (WHERE (DIM TC 2021JJ00)))));op welke gemiddelde leeftijd zijn vrouwen getrouwd in 2021
87;(VALUE (37772ned (MSR 1080_4 (WHERE (DIM TC 2016JJ00)))));hoeveel gescheiden vrouwen zijn er in 2016 getrouwd
88;(VALUE (37772ned (MSR D003634_2 (WHERE (DIM TC 1993JJ00)))));hoeveel vrouwen in 1993 zijn minimaal 2 keer getrouwd
89;(VALUE (37772ned (MSR 1080_5 (WHERE (DIM TC 1981JJ00)))));op welke leeftijd zijn gescheiden mannen in 1981 getrouwd
90;(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 2006MM12)))));hoeveel anw uitkerningen zijn erin december 2006 uitgegeven
91;(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2001MM10)))));hoeveel mensen tot aow leeftijd hadden in oktober 2001 een bijstandsuitkering
92;(VALUE (37789ksz (MSR D007076_2 (WHERE (DIM TC 2018MM01)))));aantal werkloosheidsuitkeringen in januari van 2018
93;(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2020MM10)))));hoeveel bijstandsuitkeringen tot aow leeftijd waren er in oktober 2020
94;(VALUE (37789ksz (MSR D000287 (WHERE (DIM TC 1999MM01)))));hoeveel mensen kregen een wao uitkering in januari 1999
94;(VALUE (37789ksz (MSR D000287 (WHERE (DIM TC 1999MM01)))));hoeveel mensen kregen een wao-uitkering in januari 1999
95;(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2016MM06)))));hoeveel aow uitkeringen zijn er in juni 2016 uitgegeven
95;(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2016MM06)))));hoeveel aow-uitkeringen zijn er in juni 2016 uitgegeven
96;(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 1999JJ00)))));aantal anw-uitkeringen 1999
97;(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2009MM12)))));aantal aow-uitkeringen december 2009
97;(VALUE (37789ksz (MSR D000194 (WHERE (DIM TC 2009MM12)))));hoeveel aow uitkeringen zijn er uitgegeven in december 2009
98;(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 2007MM07)))));waz uitkeringen juli 2007
99;(VALUE (37789ksz (MSR D000235 (WHERE (DIM TC 2020MM11)))));iow-uitkeringen november 2020
100;(VALUE (37789ksz (MSR 90210 (WHERE (DIM TC 2010MM02)))));bijstandsuitkeringen tot aow leeftijd februari 2010
101;(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 2011JJ00)))));hoeveel mensen kregen een waz uitkering in 2011
102;(VALUE (37789ksz (MSR D000198_2 (WHERE (DIM TC 2008MM06)))));totaal aantal arbeidsongeschiktheidsuitkeringen in juni 2008
103;(VALUE (37789ksz (MSR 90200 (WHERE (DIM TC 2005JJ00)))));totaal aantal bijstandsuitkeringen vanaf aow leeftijd in 2005
104;(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 2005MM09)))));hoeveel anw uitkeringen in september van 2005
105;(VALUE (37789ksz (MSR D000192 (WHERE (DIM TC 1999JJ00)))));hoeveel anw-uitkeringen in 1999
106;(VALUE (37789ksz (MSR D000288 (WHERE (DIM TC 1998MM08)))));aantal waz-uitkeringen in augustus 1998
107;(VALUE (37789ksz (MSR D000233 (WHERE (DIM TC 2012MM11)))));aantal uitgegeven ioaw uitkeringen in november 2012
108;(VALUE (37789ksz (MSR D000235 (WHERE (DIM TC 2016JJ00)))));hoeveel iow uitkeringen in 2016
109;(VALUE (37789ksz (MSR D000236 (WHERE (DIM TC 2015MM06)))));iva uitkeringen in juni van 2015
110;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 3000) (DIM TC 2009JJ00)))));relatief aantal zuigelingensterfte onder jongens in 2009
110;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 3000) (DIM TC 2009JJ00)))));relatieve zuigelingensterfte mannen in 2009
111;(VALUE (37979ned (MSR M000180 (WHERE (DIM TC 2008JJ00) (DIM Geslacht 3000)))));levensverwachting van mannen bij geboorte in 2008
111;(VALUE (37979ned (MSR M000180 (WHERE (DIM TC 2008JJ00) (DIM Geslacht 3000)))));wat was de levensverwachting bij mannen in 2008
112;(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038) (DIM TC 1985JJ00)))));zuigelingenstrefte in 1985
112;(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038) (DIM TC 1985JJ00)))));wat was de totale zuigelingensterfte in 1985
113;(VALUE (37979ned (MSR M000180 (WHERE (DIM Geslacht 3000)))));levensverwachting van mannen bij geboorte
113;(VALUE (37979ned (MSR M000180 (WHERE (DIM Geslacht 3000)))));wat was de levensverwachting bij mannen
114;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht T001038)))));relatieve zuigelingensterfte totaal
114;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht T001038)))));totale relatieve zuigelingensterfte
115;(VALUE (37979ned (MSR M003619_1 (WHERE (DIM TC 2009JJ00) (DIM Geslacht 3000)))));overleden jongetjes binnen maand na geboorte in 2009
115;(VALUE (37979ned (MSR M003619_1 (WHERE (DIM TC 2009JJ00) (DIM Geslacht 3000)))));overleden jongens binnen 4 weken na geboorte in 2009
116;(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht 3000) (DIM TC 1977JJ00)))));leeftijd bij overlijden van mannen in 1977
117;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000)))));relatief aantal zuigelingensterfte onder meisjes
117;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000)))));relatieve zuigelingensterfte meisjes
117;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000)))));relatieve zuigelingensterfte vrouwen
118;(VALUE (37979ned (MSR M000181_1 (WHERE (DIM Geslacht T001038)))));totale zuigelingensterfte
119;(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht T001038) (DIM TC 2005JJ00)))));gemiddelde leeftijd bij overlijden
119;(VALUE (37979ned (MSR M003503 (WHERE (DIM Geslacht T001038) (DIM TC 2005JJ00)))));leeftijd overledenen
120;(VALUE (37979ned (MSR M000181_2 (WHERE (DIM Geslacht 4000)))));relatieve zuigelingensterfte bij meisjes
121;(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 4000)))));relatief aantal overleden vrouwen
121;(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 4000)))));hoeveel vrouwen zijn er relatief overlednen
122;(VALUE (37979ned (MSR M000134_1 (WHERE (DIM TC 1975JJ00) (DIM Geslacht T001038)))));totaal aantal overledenen in 1975
122;(VALUE (37979ned (MSR M000134_1 (WHERE (DIM TC 1975JJ00) (DIM Geslacht T001038)))));hoeveel mensen zijn er in 1975 overleden
123;(VALUE (37979ned (MSR M003618 (WHERE (DIM TC 1965JJ00)))));gestandaardiseerd aantal overledenen in 1965
124;(VALUE (37979ned (MSR M000181_1 (WHERE (DIM TC 1956JJ00) (DIM Geslacht T001038)))));totale zuigelingensterfte in 1956
125;(VALUE (37979ned (MSR M003618 (WHERE (DIM Geslacht T001038)))));totaal aantal gestandaardiseerd overledenen
126;(VALUE (37979ned (MSR M000181_1 (WHERE (DIM TC 1981JJ00)))));zuigelingensterfte in 1981
127;(VALUE (37979ned (MSR D005088_1 (WHERE (DIM TC 2018JJ00)))));perinatale sterfte na 24 weken in 2018
128;(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 3000)))));relatief overlijden van mannen
128;(VALUE (37979ned (MSR M000134_2 (WHERE (DIM Geslacht 3000)))));relatief aantal overleden mannen
129;(VALUE (37979ned (MSR D005089_2 (WHERE (DIM Geslacht T001038)))));perinatale sterfte na 28 weken relatief
130;(VALUE (70072ned (MSR M003003 (WHERE (DIM TC 2004JJ00) (DIM GC PV24)))));aantal nieuwbouwwoningen in flevoland in 2004
130;(VALUE (70072ned (MSR M003003 (WHERE (DIM TC 2004JJ00) (DIM GC PV24)))));hoeveel nieuwbouwwoningen zijn er in flevoland in 2004 gebouwd
131;(VALUE (70072ned (MSR A045823_3 (WHERE (DIM TC 2015JJ00) (DIM GC PV20)))));hoeveel bos was er in de provincie groningen in 2005
132;(VALUE (70072ned (MSR A028984 (WHERE (DIM TC 2002JJ00) (DIM GC PV26)))));hoeveel schapen waren er in utrecht in 2002
132;(VALUE (70072ned (MSR A028984 (WHERE (DIM TC 2002JJ00) (DIM GC PV26)))));hoeveel schapen waren er in de provincie utrecht in 2002
133;(VALUE (70072ned (MSR A028988 (WHERE (DIM GC PV25) (DIM TC 2002JJ00)))));hoeveel paarden waren er in gelderland in 2002
133;(VALUE (70072ned (MSR A028988 (WHERE (DIM GC PV25) (DIM TC 2002JJ00)))));hoeveel pony's waren er in gelderland in 2002
134;(VALUE (70072ned (MSR 1016030_2 (WHERE (DIM GC PV26) (DIM TC 2015JJ00)))));hoeveel gezinnen met kinderen woonden er relatief gezien in de provincie utrecht in 2015
134;(VALUE (70072ned (MSR 1016030_2 (WHERE (DIM GC PV26) (DIM TC 2015JJ00)))));hoeveel gezinnen met kinderen woonden er relatief gezien in utrecht in 2015
